VOC_conc,NOx_conc,O3_max
10000000000.0,1000000000.0,5429306000000.0
10000000000.0,250750000000.0,5429306000000.0
10000000000.0,500500000000.0,5429306000000.0
10000000000.0,750250000000.0,5429306000000.0
10000000000.0,1000000000000.0,5429306000000.0
2507500000000.0,1000000000.0,5429306000000.0
2507500000000.0,250750000000.0,5429306000000.0
2507500000000.0,500500000000.0,5429306000000.0
2507500000000.0,750250000000.0,5429306000000.0
2507500000000.0,1000000000000.0,5429306000000.0
5005000000000.0,1000000000.0,5429306000000.0
5005000000000.0,250750000000.0,5429306000000.0
5005000000000.0,500500000000.0,5429306000000.0
5005000000000.0,750250000000.0,5429306000000.0
5005000000000.0,1000000000000.0,5429306000000.0
7502500000000.0,1000000000.0,5429306000000.0
7502500000000.0,250750000000.0,5429306000000.0
7502500000000.0,500500000000.0,5429306000000.0
7502500000000.0,750250000000.0,5429306000000.0
7502500000000.0,1000000000000.0,5429306000000.0
10000000000000.0,1000000000.0,5429306000000.0
10000000000000.0,250750000000.0,5429306000000.0
10000000000000.0,500500000000.0,5429306000000.0
10000000000000.0,750250000000.0,5429306000000.0
10000000000000.0,1000000000000.0,5429306000000.0
